
Host: ROG-Zephyrus-G14

Timers On : Fri Nov  7 10:00:59 2025
Timers Off: Fri Nov  7 10:01:05 2025

Wall Time:        5.30 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | | DFH: compute_J                :      0.033u      0.017s      0.002w     60 calls
| | | DFH: compute_K                :      0.017u      0.000s      0.008w     60 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     60 calls
HF: Form F                          :      0.000u      0.000s      0.000w     60 calls
HF: Form D                          :      0.000u      0.000s      0.000w     60 calls
HF: DIIS                            :      0.483u      0.050s      0.303w     55 calls
HF: Form C                          :      0.017u      0.000s      0.016w     55 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.001w      4 calls
Grad: S                             :      0.000u      0.000s      0.000w      4 calls
Grad: JK                            :      0.083u      0.000s      0.055w      4 calls
| JKGrad: Amn                       :      0.017u      0.000s      0.011w      4 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.002w      4 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      4 calls
| JKGrad: AB                        :      0.050u      0.000s      0.016w      4 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      4 calls
| JKGrad: UV                        :      0.000u      0.000s      0.001w      4 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.005w      4 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      4 calls
| JKGrad: Amnx                      :      0.017u      0.000s      0.017w      4 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.003w      4 calls
Grad: XC                            :      0.650u      0.067s      0.416w      4 calls
| Properties                        :      0.133u      0.033s      0.150w   2208 calls
| Functional                        :      0.283u      0.017s      0.131w   2208 calls
| V_xc gradient                     :      0.200u      0.017s      0.120w   2208 calls

**************************************************************************************

Host: ROG-Zephyrus-G14

Timers On : Fri Nov  7 10:14:48 2025
Timers Off: Fri Nov  7 10:14:55 2025

Wall Time:        7.04 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.267u      0.017s      0.168w      7 calls
build grid                          :      0.167u      0.000s      0.107w      7 calls
post-process grid                   :      0.100u      0.017s      0.060w      7 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.015w      7 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.020w     37 calls
DFH: initialize()                   :      0.067u      0.017s      0.053w      7 calls
DFH: AO Construction                :      0.017u      0.000s      0.007w      7 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.004w      7 calls
HF: Form core H                     :      0.000u      0.017s      0.004w      7 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      7 calls
HF: Guess                           :      0.150u      0.000s      0.108w      7 calls
SAD Guess                           :      0.133u      0.000s      0.103w      5 calls
HF: Form G                          :      5.367u      0.567s      3.590w     60 calls
RV: Form V                          :      5.367u      0.550s      3.574w     60 calls
Properties                          :      0.967u      0.083s      0.820w  35322 calls
Functional                          :      3.417u      0.350s      2.121w  35322 calls
V_xc                                :      1.017u      0.067s      0.705w  33114 calls
JK: D                               :      0.000u      0.000s      0.000w     60 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     60 calls
JK: JK                              :      0.000u      0.017s      0.012w     60 calls
DFH: compute_JK()                   :      0.000u      0.017s      0.012w     60 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     60 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w     60 calls
DFH: compute_K                      :      0.000u      0.017s      0.008w     60 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     60 calls
HF: Form F                          :      0.000u      0.000s      0.000w     60 calls
HF: Form D                          :      0.000u      0.000s      0.000w     60 calls
HF: DIIS                            :      0.450u      0.067s      0.297w     55 calls
HF: Form C                          :      0.033u      0.000s      0.016w     55 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.001w      4 calls
Grad: S                             :      0.000u      0.000s      0.000w      4 calls
Grad: JK                            :      0.100u      0.000s      0.054w      4 calls
JKGrad: Amn                         :      0.033u      0.000s      0.011w      4 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      4 calls
JKGrad: AB                          :      0.033u      0.000s      0.016w      4 calls
JKGrad: UV                          :      0.000u      0.000s      0.001w      4 calls
JKGrad: ABx                         :      0.000u      0.000s      0.005w      4 calls
JKGrad: Amnx                        :      0.017u      0.000s      0.017w      4 calls
Grad: XC                            :      0.667u      0.050s      0.415w      4 calls
V_xc gradient                       :      0.200u      0.017s      0.120w   2208 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.267u      0.017s      0.168w      7 calls
| build grid                        :      0.167u      0.000s      0.107w      7 calls
| post-process grid                 :      0.100u      0.017s      0.060w      7 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.015w      7 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.008w      7 calls
DFH: initialize()                   :      0.067u      0.017s      0.053w      7 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.006w     14 calls
| DFH: AO Construction              :      0.017u      0.000s      0.007w      7 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.004w      7 calls
HF: Form core H                     :      0.000u      0.017s      0.004w      7 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      7 calls
HF: Guess                           :      0.150u      0.000s      0.108w      7 calls
| SAD Guess                         :      0.133u      0.000s      0.103w      5 calls
HF: Form G                          :      5.367u      0.567s      3.590w     60 calls
| RV: Form V                        :      5.367u      0.550s      3.574w     60 calls
| | Properties                      :      0.750u      0.083s      0.671w  33114 calls
| | Functional                      :      3.183u      0.317s      1.990w  33114 calls
| | V_xc                            :      1.017u      0.067s      0.705w  33114 calls
| JK: D                             :      0.000u      0.000s      0.000w     60 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     60 calls
| JK: JK                            :      0.000u      0.017s      0.012w     60 calls
| | DFH: compute_JK()               :      0.000u      0.017s      0.012w     60 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     60 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.002w     60 calls
| | | DFH: compute_K                :      0.000u      0.017s      0.008w     60 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     60 calls
HF: Form F                          :      0.000u      0.000s      0.000w     60 calls
HF: Form D                          :      0.000u      0.000s      0.000w     60 calls
HF: DIIS                            :      0.450u      0.067s      0.297w     55 calls
HF: Form C                          :      0.033u      0.000s      0.016w     55 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.001w      4 calls
Grad: S                             :      0.000u      0.000s      0.000w      4 calls
Grad: JK                            :      0.100u      0.000s      0.054w      4 calls
| JKGrad: Amn                       :      0.033u      0.000s      0.011w      4 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.003w      4 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      4 calls
| JKGrad: AB                        :      0.033u      0.000s      0.016w      4 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      4 calls
| JKGrad: UV                        :      0.000u      0.000s      0.001w      4 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.005w      4 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      4 calls
| JKGrad: Amnx                      :      0.017u      0.000s      0.017w      4 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.003w      4 calls
Grad: XC                            :      0.667u      0.050s      0.415w      4 calls
| Properties                        :      0.217u      0.000s      0.150w   2208 calls
| Functional                        :      0.233u      0.033s      0.131w   2208 calls
| V_xc gradient                     :      0.200u      0.017s      0.120w   2208 calls

**************************************************************************************

Host: ROG-Zephyrus-G14

Timers On : Fri Nov  7 10:21:10 2025
Timers Off: Fri Nov  7 10:21:17 2025

Wall Time:        6.96 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.250u      0.000s      0.168w      7 calls
build grid                          :      0.167u      0.000s      0.107w      7 calls
post-process grid                   :      0.083u      0.000s      0.061w      7 calls
DFH: sparsity prep                  :      0.000u      0.017s      0.016w      7 calls
Libint2ERI::Libint2ERI              :      0.050u      0.017s      0.020w     37 calls
DFH: initialize()                   :      0.100u      0.000s      0.054w      7 calls
DFH: AO Construction                :      0.017u      0.000s      0.007w      7 calls
DFH: AO-Met. Contraction            :      0.017u      0.000s      0.004w      7 calls
HF: Form core H                     :      0.000u      0.000s      0.004w      7 calls
HF: Form S/X                        :      0.000u      0.017s      0.001w      7 calls
HF: Guess                           :      0.150u      0.017s      0.109w      7 calls
SAD Guess                           :      0.133u      0.017s      0.105w      5 calls
HF: Form G                          :      5.417u      0.567s      3.561w     60 calls
RV: Form V                          :      5.383u      0.567s      3.546w     60 calls
Properties                          :      1.217u      0.100s      0.811w  35322 calls
Functional                          :      3.000u      0.383s      2.108w  35322 calls
V_xc                                :      1.183u      0.100s      0.698w  33114 calls
JK: D                               :      0.000u      0.000s      0.000w     60 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     60 calls
JK: JK                              :      0.033u      0.000s      0.012w     60 calls
DFH: compute_JK()                   :      0.033u      0.000s      0.011w     60 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     60 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w     60 calls
DFH: compute_K                      :      0.017u      0.000s      0.008w     60 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     60 calls
HF: Form F                          :      0.000u      0.000s      0.000w     60 calls
HF: Form D                          :      0.000u      0.000s      0.000w     60 calls
HF: DIIS                            :      0.367u      0.083s      0.285w     55 calls
HF: Form C                          :      0.000u      0.000s      0.016w     55 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.001w      4 calls
Grad: S                             :      0.000u      0.000s      0.000w      4 calls
Grad: JK                            :      0.117u      0.000s      0.054w      4 calls
JKGrad: Amn                         :      0.050u      0.000s      0.011w      4 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      4 calls
JKGrad: AB                          :      0.017u      0.000s      0.016w      4 calls
JKGrad: UV                          :      0.000u      0.000s      0.001w      4 calls
JKGrad: ABx                         :      0.000u      0.000s      0.005w      4 calls
JKGrad: Amnx                        :      0.050u      0.000s      0.017w      4 calls
Grad: XC                            :      0.617u      0.067s      0.412w      4 calls
V_xc gradient                       :      0.167u      0.000s      0.119w   2208 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.250u      0.000s      0.168w      7 calls
| build grid                        :      0.167u      0.000s      0.107w      7 calls
| post-process grid                 :      0.083u      0.000s      0.061w      7 calls
DFH: sparsity prep                  :      0.000u      0.017s      0.016w      7 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.017s      0.009w      7 calls
DFH: initialize()                   :      0.100u      0.000s      0.054w      7 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.006w     14 calls
| DFH: AO Construction              :      0.017u      0.000s      0.007w      7 calls
| DFH: AO-Met. Contraction          :      0.017u      0.000s      0.004w      7 calls
HF: Form core H                     :      0.000u      0.000s      0.004w      7 calls
HF: Form S/X                        :      0.000u      0.017s      0.001w      7 calls
HF: Guess                           :      0.150u      0.017s      0.109w      7 calls
| SAD Guess                         :      0.133u      0.017s      0.105w      5 calls
HF: Form G                          :      5.417u      0.567s      3.561w     60 calls
| RV: Form V                        :      5.383u      0.567s      3.546w     60 calls
| | Properties                      :      0.917u      0.067s      0.663w  33114 calls
| | Functional                      :      2.850u      0.350s      1.978w  33114 calls
| | V_xc                            :      1.183u      0.100s      0.698w  33114 calls
| JK: D                             :      0.000u      0.000s      0.000w     60 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     60 calls
| JK: JK                            :      0.033u      0.000s      0.012w     60 calls
| | DFH: compute_JK()               :      0.033u      0.000s      0.011w     60 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     60 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.002w     60 calls
| | | DFH: compute_K                :      0.017u      0.000s      0.008w     60 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     60 calls
HF: Form F                          :      0.000u      0.000s      0.000w     60 calls
HF: Form D                          :      0.000u      0.000s      0.000w     60 calls
HF: DIIS                            :      0.367u      0.083s      0.285w     55 calls
HF: Form C                          :      0.000u      0.000s      0.016w     55 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.001w      4 calls
Grad: S                             :      0.000u      0.000s      0.000w      4 calls
Grad: JK                            :      0.117u      0.000s      0.054w      4 calls
| JKGrad: Amn                       :      0.050u      0.000s      0.011w      4 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.003w      4 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      4 calls
| JKGrad: AB                        :      0.017u      0.000s      0.016w      4 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      4 calls
| JKGrad: UV                        :      0.000u      0.000s      0.001w      4 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.005w      4 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      4 calls
| JKGrad: Amnx                      :      0.050u      0.000s      0.017w      4 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.003w      4 calls
Grad: XC                            :      0.617u      0.067s      0.412w      4 calls
| Properties                        :      0.300u      0.033s      0.148w   2208 calls
| Functional                        :      0.150u      0.033s      0.130w   2208 calls
| V_xc gradient                     :      0.167u      0.000s      0.119w   2208 calls

**************************************************************************************
